Status_of_existing_checking_account,Duration_in_month,Credit_history,Purpose,Credit_amount,Savings_account/bonds,Present_employment_since,Installment_rate_in_percentage_of_disposable_income,Personal_status_and_sex,Other_debtors/guarantors,Present_residence_since,Property,Age_in_years,Other_installment_plans,Housing,Number_of_existing_credits_at_this_bank,Job,Number_of_people_being_liable_to_provide_maintenance_for,Telephone,foreign_worker,credit_risk
no checking account,9,existing credits paid back till now,furniture/equipment,1313,less than 116,greater than 7 years,1,male : single,none,4,car or other,20,,own,1,skilled employee,1,none,Y,1
less than 0,18,critical account/ other credits existing,repairs,1190,less than 116,unemployed,2,female : divorced/separated/married,none,4,unkown/no property,55,,for free,3,unemployed,2,none,Y,0
no checking account,5,existing credits paid back till now,business,3448,less than 116,less than 7 years,1,male : single,none,4,real estate,74,,own,1,unskilled,1,none,Y,1
less than 116,24,existing credits paid back till now,others,11328,less than 116,less than 4 years,2,male : single,co-applicant,3,car or other,29,none,own,2,self_employed/highly qualified employee,1,yes,Y,0
less than 0,6,critical account/ other credits existing,furniture/equipment,1872,less than 116,unemployed,4,male : single,none,4,unkown/no property,36,,for free,3,self_employed/highly qualified employee,1,yes,Y,1
no checking account,24,critical account/ other credits existing,repairs,2058,less than 116,less than 4 years,4,male : divocred/separated,none,2,real estate,33,,own,2,skilled employee,1,yes,Y,1
less than 0,9,existing credits paid back till now,furniture/equipment,2136,less than 116,less than 4 years,3,male : single,none,2,real estate,25,,own,1,skilled employee,1,none,Y,1
less than 116,12,existing credits paid back till now,radio/television,1484,unkown/no savings account,less than 4 years,2,male : married/widowed,none,1,real estate,25,,own,1,skilled employee,1,yes,Y,0
no checking account,6,existing credits paid back till now,repairs,660,less than 582,less than 7 years,2,male : married/widowed,none,4,real estate,23,,rent,1,unskilled,1,none,Y,1
no checking account,24,critical account/ other credits existing,new car,1287,greater than 582,greater than 7 years,4,female : divorced/separated/married,none,4,real estate,37,,own,2,skilled employee,1,yes,Y,1
less than 0,42,critical account/ other credits existing,repairs,3394,less than 116,unemployed,4,male : single,co-applicant,4,car or other,65,,own,2,unemployed,1,none,Y,1
greater than or equal to 116,12,all credits at this bank paid back,business,609,less than 116,less than 1 year,4,female : divorced/separated/married,none,1,real estate,26,,own,1,unemployed,1,none,Y,0
no checking account,12,existing credits paid back till now,new car,1884,less than 116,greater than 7 years,4,male : single,none,4,car or other,39,,own,1,self_employed/highly qualified employee,1,yes,Y,1
less than 0,12,existing credits paid back till now,furniture/equipment,1620,less than 116,less than 4 years,2,female : divorced/separated/married,co-applicant,3,building society saving agreement/life insurance,30,,own,1,skilled employee,1,none,Y,1
less than 116,20,delay in paying off in the past,others,2629,less than 116,less than 4 years,2,male : single,none,3,car or other,29,none,own,2,skilled employee,1,yes,Y,1
no checking account,12,existing credits paid back till now,education,719,less than 116,greater than 7 years,4,male : single,none,4,car or other,41,none,own,1,unskilled,2,none,Y,0
less than 116,48,critical account/ other credits existing,furniture/equipment,5096,less than 116,less than 4 years,2,female : divorced/separated/married,none,3,car or other,30,,own,1,self_employed/highly qualified employee,1,yes,Y,0
no checking account,9,critical account/ other credits existing,education,1244,unkown/no savings account,greater than 7 years,4,female : divorced/separated/married,none,4,building society saving agreement/life insurance,41,,rent,2,unskilled,1,none,Y,1
less than 0,36,existing credits paid back till now,new car,1842,less than 116,less than 1 year,4,female : divorced/separated/married,none,4,car or other,34,,own,1,skilled employee,1,yes,Y,0
less than 116,7,existing credits paid back till now,radio/television,2576,less than 116,less than 4 years,2,male : single,guarantor,2,real estate,35,,own,1,skilled employee,1,none,Y,1
greater than or equal to 116,12,existing credits paid back till now,furniture/equipment,1424,unkown/no savings account,greater than 7 years,3,female : divorced/separated/married,none,4,real estate,55,,own,1,self_employed/highly qualified employee,1,yes,Y,1
less than 116,15,delay in paying off in the past,repairs,1512,greater than 582,less than 4 years,3,male : married/widowed,none,3,building society saving agreement/life insurance,61,stores,own,2,skilled employee,1,none,Y,0
no checking account,36,critical account/ other credits existing,used car,11054,unkown/no savings account,less than 4 years,4,male : single,none,2,car or other,30,,own,1,self_employed/highly qualified employee,1,yes,Y,1
no checking account,6,existing credits paid back till now,radio/television,518,less than 116,less than 4 years,3,female : divorced/separated/married,none,1,real estate,29,,own,1,skilled employee,1,none,Y,1
no checking account,12,no credits taken/all credit paid back,furniture/equipment,2759,less than 116,greater than 7 years,2,male : single,none,4,building society saving agreement/life insurance,34,,own,2,skilled employee,1,none,Y,1
no checking account,24,existing credits paid back till now,used car,2670,less than 116,greater than 7 years,4,male : single,none,4,car or other,35,,own,1,self_employed/highly qualified employee,1,yes,Y,1
less than 0,24,existing credits paid back till now,new car,4817,less than 116,less than 7 years,2,male : single,co-applicant,3,building society saving agreement/life insurance,31,,own,1,skilled employee,1,yes,Y,0
no checking account,24,existing credits paid back till now,used car,2679,less than 116,less than 1 year,4,female : divorced/separated/married,none,1,unkown/no property,29,,own,1,self_employed/highly qualified employee,1,yes,Y,1
less than 0,11,critical account/ other credits existing,new car,3905,less than 116,less than 4 years,2,male : single,none,2,real estate,36,,rent,2,skilled employee,2,none,Y,1
less than 0,12,existing credits paid back till now,used car,3386,less than 116,greater than 7 years,3,male : single,none,4,unkown/no property,35,,for free,1,skilled employee,1,yes,Y,0
less than 0,6,existing credits paid back till now,domestic appliances,343,less than 116,less than 1 year,4,female : divorced/separated/married,none,1,real estate,27,,own,1,skilled employee,1,none,Y,1
no checking account,18,existing credits paid back till now,radio/television,4594,less than 116,less than 1 year,3,male : single,none,2,car or other,32,,own,1,skilled employee,1,yes,Y,1
less than 0,36,existing credits paid back till now,furniture/equipment,3620,less than 116,less than 4 years,1,male : single,guarantor,2,building society saving agreement/life insurance,37,,own,1,skilled employee,2,none,Y,1
less than 0,15,existing credits paid back till now,new car,1721,less than 116,less than 1 year,2,male : single,none,3,real estate,36,,own,1,skilled employee,1,none,Y,1
less than 116,12,existing credits paid back till now,furniture/equipment,3017,less than 116,less than 1 year,3,female : divorced/separated/married,none,1,real estate,34,,rent,1,self_employed/highly qualified employee,1,none,Y,1
less than 116,12,existing credits paid back till now,retraining,754,unkown/no savings account,greater than 7 years,4,male : single,none,4,building society saving agreement/life insurance,38,,own,2,skilled employee,1,none,Y,1
no checking account,18,existing credits paid back till now,business,1950,less than 116,less than 7 years,4,male : single,none,1,car or other,34,stores,own,2,skilled employee,1,yes,Y,1
less than 0,24,existing credits paid back till now,used car,2924,less than 116,less than 4 years,3,male : single,guarantor,4,unkown/no property,63,none,own,1,skilled employee,2,yes,Y,1
less than 0,24,delay in paying off in the past,radio/television,1659,less than 116,less than 1 year,4,female : divorced/separated/married,none,2,car or other,29,,rent,1,unskilled,1,yes,Y,0
no checking account,48,delay in paying off in the past,radio/television,7238,unkown/no savings account,greater than 7 years,3,male : single,none,3,car or other,32,none,own,2,skilled employee,2,none,Y,1
no checking account,33,delay in paying off in the past,business,2764,less than 116,less than 4 years,2,female : divorced/separated/married,none,2,car or other,26,,own,2,skilled employee,1,yes,Y,1
no checking account,24,delay in paying off in the past,used car,4679,less than 116,less than 7 years,3,male : single,none,3,car or other,35,,own,2,unskilled,1,yes,Y,1
less than 116,24,existing credits paid back till now,radio/television,3092,less than 291,less than 1 year,3,male : married/widowed,none,2,car or other,22,,rent,1,skilled employee,1,yes,Y,0
less than 0,6,existing credits paid back till now,education,448,less than 116,less than 1 year,4,female : divorced/separated/married,none,4,building society saving agreement/life insurance,23,,own,1,skilled employee,1,none,Y,0
less than 0,9,existing credits paid back till now,new car,654,less than 116,less than 4 years,4,male : single,none,3,car or other,28,,own,1,unskilled,1,none,Y,0
no checking account,6,existing credits paid back till now,retraining,1238,unkown/no savings account,unemployed,4,male : single,none,4,building society saving agreement/life insurance,36,,own,1,self_employed/highly qualified employee,2,yes,Y,1
less than 116,18,critical account/ other credits existing,radio/television,1245,less than 116,less than 4 years,4,male : married/widowed,none,2,car or other,33,,own,1,skilled employee,1,none,Y,0
less than 0,18,no credits taken/all credit paid back,furniture/equipment,3114,less than 116,less than 1 year,1,female : divorced/separated/married,none,4,building society saving agreement/life insurance,26,,rent,1,skilled employee,1,none,Y,0
no checking account,39,existing credits paid back till now,used car,2569,less than 582,less than 4 years,4,male : single,none,4,car or other,24,,own,1,skilled employee,1,none,Y,1
greater than or equal to 116,24,existing credits paid back till now,radio/television,5152,less than 116,less than 7 years,4,male : single,none,2,car or other,25,none,own,1,skilled employee,1,none,Y,1
less than 116,12,existing credits paid back till now,business,1037,less than 291,less than 7 years,3,male : single,none,4,real estate,39,,own,1,unskilled,1,none,Y,1
less than 0,15,critical account/ other credits existing,furniture/equipment,1478,less than 116,greater than 7 years,4,male : single,none,4,car or other,44,,own,2,skilled employee,2,yes,Y,1
